memory_total,q,s1x,s1y,s1z,s2x,s2y,s2z,sxsid
0.094586521,1,-0.109065892,-0.791101929,0.040282603,-0.108981401,-0.791113907,0.04028268,636
0.094087337,1,0.058807673,-0.400702683,0.68952395,0.287829171,-0.331145862,-0.668353369,637
0.095362877,1.000080228,-0.612978933,0.512848706,0.022349845,8.10E-06,9.73E-06,-2.50E-05,638
0.126080481,1.000007234,-0.517763485,0.147640397,0.591003461,0.154879742,-0.743759861,0.2491351,639
0.092536624,1.000056323,-0.376451252,0.011924932,0.705277042,-0.315998284,-0.267670526,-0.683876912,640
0.096704159,1,-0.04240972,0.797465703,0.037713357,-0.0424959,0.7974618,0.03771358,641
0.094219138,1.000014528,-0.177059918,0.404266604,-0.666510432,0.06238293,0.390844126,0.694791362,642
0.092301772,1.000063985,0.559836976,0.570330505,0.025762562,1.04E-05,-9.07E-06,-3.77E-05,643
0.130493665,1,0.40678826,0.336006438,0.600787202,-0.618587016,0.439634065,0.25171952,644
0.086559189,1.000000045,0.673578812,0.428182542,0.048275336,0.673537726,0.4282489,0.048274193,645
0.070977433,1.000068451,-0.724603646,-0.116586833,-0.317305362,0.304919417,-0.552262037,-0.491513209,646
0.069754276,1.000020018,0.326843273,0.662334569,-0.305956068,-0.597029594,0.159399744,-0.507440661,647
0.069519096,1.000011614,0.47000845,-0.578014421,-0.290129556,0.303683066,0.533396704,-0.512480598,648
0.092951612,1.33331455,-3.51E-06,-3.87E-06,-1.57E-05,0.534931275,-0.594278318,0.014463612,649
0.091105198,1.333178413,-9.00E-05,-3.74E-05,-1.36E-05,-0.795155246,0.07740225,0.031605405,650
0.092655377,1.333249941,3.04E-06,6.09E-06,-1.60E-05,0.168541428,0.781656038,0.01129111,651
0.128741571,1.333444092,0.293972055,-0.6292311,0.395442281,-0.112626542,-0.503063868,0.611257974,652
0.136803086,1.333381161,-0.637206397,0.232110242,0.422712798,-0.28728403,0.450247458,0.594962733,653
0.131381721,1.333401725,0.071585171,0.677501416,0.41803347,0.39050636,0.306365464,0.627017716,654
0.082299227,1.333376112,-0.754254654,-0.262124737,0.041677012,-0.000140458,1.55E-05,-9.72E-05,655
0.113303457,1.333247654,-0.149156003,-0.712218611,0.331134653,0.219105891,0.640337455,0.425731807,656
0.084258521,1.33332296,-0.451635531,-0.425040873,0.504732007,-0.177101871,-0.525736733,-0.575847886,657
0.087053492,1.333220616,-0.490567467,0.614394303,-0.145642136,-0.554801877,-0.497008733,0.290463622,658
0.087277676,1.333248373,-0.768023463,0.215303617,0.056308597,0.618245005,0.504843625,-0.048295466,659
0.063689476,1.333197721,-0.175516849,0.670236265,-0.399259284,0.084631059,0.76430108,-0.218480213,660
0.079960763,1.333405582,0.358251923,0.714007293,0.032060407,2.34E-05,2.49E-05,-4.85E-05,661
0.112091425,1.333313259,-0.603881176,0.420678428,0.312310109,0.52191937,-0.470822462,0.381153138,662
0.081988873,1.33337097,0.17635914,0.777700114,0.057410667,0.440870624,-0.665106068,-0.052170714,663
0.08460212,1.333261436,0.356212958,0.513182363,0.499006913,0.077557261,0.547785603,-0.577054175,664
0.08851606,1.333298392,0.772725009,0.140506318,-0.149641008,-0.203060624,0.73931546,0.22717593,665
0.058847104,1.333254399,0.668143151,-0.192790284,-0.394706375,0.603795009,-0.486675189,-0.194076138,666
0.08520712,1.333373491,0.398170969,-0.693280205,0.015492366,-3.50E-05,7.86E-05,-3.61E-05,667
0.11794165,1.333250612,0.695971469,0.190148685,0.344631972,-0.677749048,-0.067763047,0.418804044,668
0.088282639,1.333347592,-0.550003665,-0.558922511,-0.156369399,0.529673046,-0.554706074,0.226438382,669
0.088224952,1.333281736,0.55075258,-0.577594284,0.049506659,-0.797214751,-0.0165675,-0.058855067,670
0.085739552,1.333321856,0.565855659,-0.324069295,0.462853594,0.541327723,-0.022315497,-0.588137411,671
0.061301158,1.333263298,-0.265441668,-0.629398834,-0.415695354,-0.555301662,-0.530356442,-0.222303387,672
0.07081949,1.333384679,-0.173597322,-0.438953529,-0.645282365,0.241951552,0.724814714,-0.236019814,673
0.069927686,1.333302922,-0.240371078,0.427804912,-0.6311241,0.408751582,-0.649568435,-0.224416735,674
0.06880817,1.333257451,0.460106873,0.010412225,-0.653677492,-0.761382682,-0.041836279,-0.240822124,675
0.083719218,1.666650132,7.55E-06,-5.70E-05,-9.60E-06,0.441575188,-0.666740501,0.010638487,676
0.08222133,1.66659783,7.36E-05,-2.58E-05,-0.000155992,-0.798985523,0.007826036,0.030233644,677
0.08382811,1.666531214,-6.94E-07,1.06E-06,-1.40E-05,0.11854954,0.790785392,0.006670699,678
0.134236676,1.666675874,-0.472796654,0.291161839,0.575298157,-0.499402014,0.394822898,0.483690074,679
0.127737212,1.666612822,0.069088281,0.546500164,0.579252874,0.132464562,0.625795461,0.479597892,680
0.127301462,1.666836404,0.274488005,-0.498183475,0.561434658,0.248609245,-0.614610144,0.447272699,681
0.067070277,1.66670007,0.056446631,0.79686686,0.033012645,-1.14E-05,5.08E-05,-7.53E-05,682
0.090692866,1.666578814,-0.786320486,-0.04819363,0.13604698,0.343492608,0.253556994,0.676025413,683
0.070241268,1.666639688,0.010048718,0.642230883,0.476232682,-0.010639153,-0.284734941,-0.747096789,684
0.066973532,1.666707044,0.386972333,0.65469875,-0.246529281,0.352958978,0.457476789,0.552943905,685
0.054117929,1.666600377,0.718073831,-0.310728585,-0.164868137,0.667658312,-0.091352188,-0.430108057,686
0.070505855,1.666732599,0.490080867,-0.631146444,0.026900792,-5.30E-06,-1.98E-06,-1.08E-05,687
0.085291443,1.666575826,-0.006434051,0.791998421,0.108323938,0.224819299,-0.412028862,0.647307287,688
0.069185887,1.666756074,0.580985412,-0.493403615,-0.241253196,0.396758709,-0.482971072,0.498982295,689
0.072235983,1.666702878,0.384739034,-0.535764938,0.451838452,-0.174500686,0.243363489,-0.741276924,690
0.077182476,1.666644609,0.434152752,-0.661228534,0.115954595,0.068131267,0.774850176,-0.185439143,691
0.052080401,1.666665217,-0.569330871,-0.533596233,-0.174189007,-0.299477098,-0.583366351,-0.457274696,692
0.067927448,1.666714268,-0.634936997,-0.484692036,0.035490425,3.36E-05,2.46E-05,-1.95E-05,693
0.085913478,1.666488122,0.59589884,-0.522746705,0.104177444,-0.441553952,0.101384408,0.658702415,694
0.078928219,1.666727183,-0.713740468,0.34120801,0.116312178,0.345424092,-0.696176987,-0.188797403,695
0.068137434,1.666589696,-0.682606684,-0.338516475,-0.24215438,-0.55229628,-0.118382785,0.565903949,696
0.069084826,1.666713036,-0.056295379,-0.65920783,0.448912028,0.002507556,0.276140894,-0.750409967,697
0.056906673,1.666636496,-0.215267204,0.748843805,-0.179493656,-0.371864542,0.562618152,-0.42928289,698
0.059057233,1.666694682,0.009869241,-0.191255817,-0.77600523,-0.596930381,0.531175146,-0.034853574,699
0.059352553,1.6665955,-0.118103892,0.137971177,-0.778480036,0.799356119,0.005470723,-0.019712472,700
0.059301673,1.666697882,0.137214399,0.101745381,-0.781134153,-0.029572167,-0.798310426,-0.037175083,701
0.073955626,1.999935737,-1.66E-05,-4.76E-05,0.000135378,0.212852999,-0.770854202,0.009463755,702
0.072858199,1.99967017,4.10E-06,-7.11E-06,-4.56E-05,-0.703108427,0.380333425,0.017253145,703
0.073863315,1.99990416,-7.62E-06,5.87E-05,2.70E-05,0.26971781,0.752753374,0.008772542,704
0.123814177,1.999955411,0.180387061,0.35466936,0.693574107,0.135566868,0.711448125,0.338537687,705
0.121399312,1.999701463,0.125761903,-0.40389371,0.67860008,0.350616552,-0.658136227,0.287905945,706
0.12779239,1.999736327,-0.371276242,0.182390268,0.684131858,-0.684587143,0.217842137,0.351019604,707
0.066449574,1.999817074,-0.332151041,0.72569069,0.045937712,0.147851297,-0.081396073,0.781514719,708
0.056177393,2.00003955,0.675254976,-0.367681564,0.219574193,-0.320565443,-0.632989515,-0.36884612,709
0.0664224,1.999853427,0.770239958,-0.173017935,0.126569796,-0.75146834,0.02183965,-0.272111741,710
0.06001878,1.999952707,0.404119599,-0.686735209,-0.064247046,0.703869734,0.227815818,0.303549085,711
0.04680926,1.99984629,-0.693002147,-0.398375242,-0.019704838,-0.147716205,-0.419330997,-0.66451976,712
0.055369454,2.000196422,-0.51184848,-0.612695253,0.03967449,-3.51E-06,-3.86E-05,-0.000117901,713
0.070105357,1.999832839,0.797539431,-0.028438703,0.047479819,-0.116528015,-0.093277061,0.785557864,714
0.052980162,1.999576967,-0.758448498,-0.136480302,0.213653715,-0.177514864,0.715559385,-0.309150466,716
0.060689473,1.999792831,-0.496076707,-0.611354849,0.139937785,0.304390589,0.695368716,-0.251688784,717
0.049207279,1.999829152,0.038362991,0.798058118,-0.029910707,-0.249644151,0.369944335,-0.663175105,718
0.069928248,1.999777457,-0.270614211,-0.751220319,0.040438053,-0.054644009,0.154933286,0.782605346,719
0.05415968,1.999654678,0.103523212,0.789448704,-0.073256681,-0.677166814,0.335925597,0.260551201,721
0.055984806,1.99976058,-0.633771329,0.451766752,0.183710411,0.377573074,0.596033782,-0.376337682,722
0.050968289,1.999900592,-0.004999015,-0.005828046,-0.799537309,-0.757973601,0.25478985,0.017119286,723
0.050869609,1.99991205,0.009465152,-0.003942559,-0.799279274,0.469408132,0.646889517,0.023166586,724
0.0506898,1.999762263,-0.003925107,0.009093428,-0.799254555,0.461715383,-0.652882811,-0.00085538,725
0.092483502,1.999975367,0.095006304,-0.134827961,0.364193188,0.66028872,-0.437597073,0.109748628,726
0.090562982,1.999814426,-0.146387177,-0.011155065,0.37211437,-0.679946281,-0.399772606,0.130369562,727
0.092471581,1.999641828,0.013187759,0.159897118,0.366396761,-0.23354041,0.760138569,0.084144713,728
0.096374834,1.000001271,0.101590193,-0.386774054,0.003796386,-3.95E-05,-1.22E-05,-9.07E-05,729
0.079271058,1.999635327,-0.322469519,0.236180276,0.012817744,0.090633558,0.008805044,0.79424659,730
0.067718679,1.999943187,0.385999689,0.000229038,0.10456835,-0.014053407,-0.782219291,-0.165769848,731
0.072854848,1.999611025,0.379342996,0.112793271,0.057579591,-0.783477467,-0.088635517,-0.132355965,732
0.069923467,1.999736122,0.362975778,-0.1524019,-0.070098783,0.622693329,0.437795872,0.245091398,733
0.061608103,1.999731525,-0.19186918,-0.3500328,-0.024130754,-0.045747398,-0.318518185,-0.731734857,734
0.096052199,1.00000536,-0.371223485,0.148584748,0.006804799,4.75E-06,1.11E-05,-3.85E-05,735
0.079870454,1.999650693,0.382932126,0.114566603,0.012920003,-0.043498196,-0.075773609,0.794661076,736
0.064865829,1.999485181,-0.194914507,-0.33506051,0.098650847,-0.576616672,0.531502233,-0.155656886,737
0.061805118,1.999756155,-0.238760598,0.319931923,-0.023487184,-0.272648239,0.189279034,-0.727213559,738
0.069569878,1.999615197,-0.145231136,0.36604336,-0.06960884,-0.718748341,0.270662047,0.222319955,739
0.068510358,1.999727046,-0.296661985,0.253598251,0.087275444,0.550484896,0.545516535,-0.196981123,740
0.061442719,2.000028931,0.041041597,-0.008489896,-0.397639138,-0.391867594,-0.697029186,0.012301625,741
0.060744259,1.999638473,-0.027851313,-0.024332524,-0.398041349,-0.251158372,0.759044548,0.003749605,742
0.060769241,1.99969289,-0.013758595,0.040567025,-0.397352614,0.774583016,-0.198674096,0.005958397,743
0.118955566,1.000080442,0.48346854,-0.246840312,0.587066629,7.61E-06,8.28E-06,-3.64E-05,744
0.10054109,2.000057858,0.12691356,-0.53720791,0.578418068,-7.01E-05,0.000131507,9.75E-05,745
0.168253029,1,0.14138958,-0.000682613,0.786770028,-0.133174304,0.523197774,0.589453925,746
0.124578181,1.999541929,0.340622807,0.342961707,0.636986034,-0.030001405,-0.309268005,0.736539748,747
0.094846619,2.000129003,0.033764989,-0.669967368,0.43505578,-0.424325804,-0.520335034,0.434219199,748
0.106543126,2.000173511,-0.150152578,-0.551297408,0.559191116,0.794114835,-0.03516221,0.087969552,749
0.08752371,1.999911033,-0.597087216,0.364743711,0.387079578,-0.569408749,0.463729008,-0.316204043,750
0.103553273,1.999656125,-0.333350261,0.485572086,0.540917053,-0.389778354,-0.690644662,0.10108043,751
0.092936735,1.999996859,-0.229589171,0.628825484,0.437223158,0.212882296,0.655260701,0.405592797,752
0.117874667,1.000066299,-0.082689381,0.541549185,0.58239875,-1.79E-05,2.72E-05,-3.06E-05,753
0.104933139,1.999969448,0.476584366,0.188913605,0.613737786,-0.000111457,-4.45E-05,4.76E-05,754
0.169063292,1,-0.021614602,0.148887887,0.785026478,-0.457191353,-0.152983281,0.637547125,755
0.121389089,1.999843328,-0.474788255,0.166704922,0.621165407,0.266687505,0.08284094,0.749030671,756
0.105608421,1.999951075,0.489758921,0.262953323,0.574450189,-0.57415809,0.554214815,0.049613021,757
0.099664352,1.999579745,0.627698852,-0.221020914,0.443552759,0.374791966,-0.599298606,0.373809181,758
0.080987166,1.999898476,0.064185175,-0.696266131,0.387820817,-0.028167479,-0.71398423,-0.358216442,759
